text,sentiment,tokens
"@mellowdi  Awww...you're awesome! My hubby is in Germany until July, but I'll tell him. He's a MD boy, knows how to def take care of me.  ",1,"['@mellowdi', ' ', 'awww', '...', ""you're"", 'awesome', '!', 'my', 'hubby', 'is', 'in', 'germany', 'until', 'july', ',', 'but', 'i', ""'ll"", 'tell', 'him', '.', 'he', ""'s"", 'a', 'md', 'boy', ',', 'knows', 'how', 'to', 'def', 'take', 'care', 'of', 'me', '.', ' ']"
@RealJudgeJules cheers for the airplays of the soul mate ,1,"['@realjudgejules', 'cheers', 'for', 'the', 'airplays', 'of', 'the', 'soul', 'mate']"
"Having a condufes shcool day. I'll be leaveing denmark tonight and can't tweet for 2 weeks.  Anyway... keep twitting, KTBSPA! #BSB",0,"['having', 'a', 'condufes', 'shcool', 'day', '.', 'i', ""'ll"", 'be', 'leaveing', 'denmark', 'tonight', 'and', 'ca', ""n't"", 'tweet', 'for', '2', 'weeks', '.', ' ', 'anyway', '...', 'keep', 'twitting', ',', 'ktbspa', '!', '#', 'bsb']"
"Watching the Graduate, then studying. My priorities have rearranged themselves ",1,"['watching', 'the', 'graduate', ',', 'then', 'studying', '.', 'my', 'priorities', 'have', 'rearranged', 'themselves']"
@zed_pm .. Hey dude !! Wazzzup ???? ,1,"['@zed_pm', '..', 'hey', 'dude', '!', '!', 'wazzzup', '?', '?', '?', '?']"
@Jessica_Bechtol Most likely ,1,"['@jessica_bechtol', 'most', 'likely']"
"awww, bed sounds so good right now...  slept like 2/36 hours. *yawn*",1,"['awww', ',', 'bed', 'sounds', 'so', 'good', 'right', 'now', '...', ' ', 'slept', 'like', '2/36', 'hours', '.', '*', 'yawn', '*']"
http://twitpic.com/4yqkz - I was scared on this rock ,1,"['http://twitpic.com/4yqkz', '-', 'i', 'was', 'scared', 'on', 'this', 'rock']"
@cased link was broken ,0,"['@cased', 'link', 'was', 'broken']"
"@unmarketing Certainly not Cheers than, huh? ",1,"['@unmarketing', 'certainly', 'not', 'cheers', 'than', ',', 'huh', '?']"
@bobbyMGF no I want to though  but you'll do great have fun!,0,"['@bobbymgf', 'no', 'i', 'want', 'to', 'though', ' ', 'but', 'you', ""'ll"", 'do', 'great', 'have', 'fun', '!']"
@zappos Check out my background.. Hot!!! Need to put some zappos on the pallets ,1,"['@zappos', 'check', 'out', 'my', 'background', '..', 'hot', '!', '!', '!', 'need', 'to', 'put', 'some', 'zappos', 'on', 'the', 'pallets']"
I got my graduaton dress! Yay ,1,"['i', 'got', 'my', 'graduaton', 'dress', '!', 'yay']"
Just bought a new fishing rod and reel ,1,"['just', 'bought', 'a', 'new', 'fishing', 'rod', 'and', 'reel']"
Just went 2 rent a movie at my great local video store in west stockbridge MA for the 1st time in months &amp; they have gone out of business ,0,"['just', 'went', '2', 'rent', 'a', 'movie', 'at', 'my', 'great', 'local', 'video', 'store', 'in', 'west', 'stockbridge', 'ma', 'for', 'the', '1st', 'time', 'in', 'months', '&', 'amp', ';', 'they', 'have', 'gone', 'out', 'of', 'business']"
@EvZRox  thnx,0,"['@evzrox', ' ', 'thnx']"
"JPOD is as funny as the book, but I had managed to remove the placenta lasagna from my sub-conscious, now that babys back with avengence ",0,"['jpod', 'is', 'as', 'funny', 'as', 'the', 'book', ',', 'but', 'i', 'had', 'managed', 'to', 'remove', 'the', 'placenta', 'lasagna', 'from', 'my', 'sub', '-', 'conscious', ',', 'now', 'that', 'babys', 'back', 'with', 'avengence']"
@JLHaynes GOOD! thanks for listenin to it!  how r u ??,1,"['@jlhaynes', 'good', '!', 'thanks', 'for', 'listenin', 'to', 'it', '!', ' ', 'how', 'r', 'u', '?', '?']"
"@oolix: Consider yourself lucky, I've woke up two days in a row at 5.30 ",0,"['@oolix', ':', 'consider', 'yourself', 'lucky', ',', 'i', ""'ve"", 'woke', 'up', 'two', 'days', 'in', 'a', 'row', 'at', '5.30']"
Brian Naylor made me tear up ,0,"['brian', 'naylor', 'made', 'me', 'tear', 'up']"
4th cup of coffee. Finally feeling normal. This won't happen again. I dislike overworking my adrenal glands. ,0,"['4th', 'cup', 'of', 'coffee', '.', 'finally', 'feeling', 'normal', '.', 'this', 'wo', ""n't"", 'happen', 'again', '.', 'i', 'dislike', 'overworking', 'my', 'adrenal', 'glands', '.']"
I feel worse today than I did yesterday.  Why does my school have to be stupid and make this a full day? I hate whoever thought of that.,0,"['i', 'feel', 'worse', 'today', 'than', 'i', 'did', 'yesterday', '.', ' ', 'why', 'does', 'my', 'school', 'have', 'to', 'be', 'stupid', 'and', 'make', 'this', 'a', 'full', 'day', '?', 'i', 'hate', 'whoever', 'thought', 'of', 'that', '.']"
@kenitasu D: really? you're lucky! i'm from ireland  i really want JONAS though ,0,"['@kenitasu', 'd', ':', 'really', '?', 'you', ""'re"", 'lucky', '!', 'i', ""'m"", 'from', 'ireland', ' ', 'i', 'really', 'want', 'jonas', 'though']"
Almost home. Listening to paramore  my mom wants to learn the songs before the concert,1,"['almost', 'home', '.', 'listening', 'to', 'paramore', ' ', 'my', 'mom', 'wants', 'to', 'learn', 'the', 'songs', 'before', 'the', 'concert']"
@unoxymoronic hahaha i meant this morning ,1,"['@unoxymoronic', 'hahaha', 'i', 'meant', 'this', 'morning']"
@PeaceLovePey to sad you signed out from youtube cuz i responsed my intro for you  hehe i don't get that if the funny thing you wrote..lol,0,"['@peacelovepey', 'to', 'sad', 'you', 'signed', 'out', 'from', 'youtube', 'cuz', 'i', 'responsed', 'my', 'intro', 'for', 'you', ' ', 'hehe', 'i', 'do', ""n't"", 'get', 'that', 'if', 'the', 'funny', 'thing', 'you', 'wrote', '..', 'lol']"
Hearing aid is broken and in the shop  I hate not being able to hear. It's good for ignoring the wife ,0,"['hearing', 'aid', 'is', 'broken', 'and', 'in', 'the', 'shop', ' ', 'i', 'hate', 'not', 'being', 'able', 'to', 'hear', '.', 'it', ""'s"", 'good', 'for', 'ignoring', 'the', 'wife']"
Looking for blue october's tour bus..don't look like they are here yet.. ,0,"['looking', 'for', 'blue', 'october', ""'s"", 'tour', 'bus', '..', ""don't"", 'look', 'like', 'they', 'are', 'here', 'yet', '..']"
I'm sicccc  ....bring me sum chicken noodle soup,0,"['i', ""'m"", 'sicccc', ' ', '....', 'bring', 'me', 'sum', 'chicken', 'noodle', 'soup']"
"@BeautyandBrkdwn I have heard that about Cage as well, if you find out for sure lemme know, I looovvvvee Cage ",1,"['@beautyandbrkdwn', 'i', 'have', 'heard', 'that', 'about', 'cage', 'as', 'well', ',', 'if', 'you', 'find', 'out', 'for', 'sure', 'lemme', 'know', ',', 'i', 'looovvvvee', 'cage']"
waiting to be picked up. We're off to aston this morning ,1,"['waiting', 'to', 'be', 'picked', 'up', '.', 'we', ""'re"", 'off', 'to', 'aston', 'this', 'morning']"
I want the new iPhone. ,0,"['i', 'want', 'the', 'new', 'iphone', '.']"
Wishing World of Warcraft was better. I can't find motivation to play except to prance around in new druid skins when patch comes out. ,0,"['wishing', 'world', 'of', 'warcraft', 'was', 'better', '.', 'i', 'ca', ""n't"", 'find', 'motivation', 'to', 'play', 'except', 'to', 'prance', 'around', 'in', 'new', 'druid', 'skins', 'when', 'patch', 'comes', 'out', '.']"
contemplating staying up and freaking out or going to sleep and imagining my freak outs - i don't think either is good ,0,"['contemplating', 'staying', 'up', 'and', 'freaking', 'out', 'or', 'going', 'to', 'sleep', 'and', 'imagining', 'my', 'freak', 'outs', '-', 'i', 'do', ""n't"", 'think', 'either', 'is', 'good']"
Listing to the first mix/master of &quot;Rush&quot; off the upcoming EP. It's a dark little rock number ,1,"['listing', 'to', 'the', 'first', 'mix', '/', 'master', 'of', '&', 'quot;rush&quot', ';', 'off', 'the', 'upcoming', 'ep', '.', 'it', ""'s"", 'a', 'dark', 'little', 'rock', 'number']"
"@ninanyc I haven't met a sun shower I haven't embraced!  Just took a tour of the garden in the rain- the smell, the blooms, lovely.",1,"['@ninanyc', 'i', 'have', ""n't"", 'met', 'a', 'sun', 'shower', 'i', 'have', ""n't"", 'embraced', '!', ' ', 'just', 'took', 'a', 'tour', 'of', 'the', 'garden', 'in', 'the', 'rain-', 'the', 'smell', ',', 'the', 'blooms', ',', 'lovely', '.']"
"@cheesetal sbux is irritatingly fattening  btw, i recommend feist and yuna! ",0,"['@cheesetal', 'sbux', 'is', 'irritatingly', 'fattening', ' ', 'btw', ',', 'i', 'recommend', 'feist', 'and', 'yuna', '!']"
"Chris is getting braces put on right now! So happy for him because he's waited a long time, so sad because I remember having them-not fun ",0,"['chris', 'is', 'getting', 'braces', 'put', 'on', 'right', 'now', '!', 'so', 'happy', 'for', 'him', 'because', 'he', ""'s"", 'waited', 'a', 'long', 'time', ',', 'so', 'sad', 'because', 'i', 'remember', 'having', 'them', '-', 'not', 'fun']"
Bout to go eat breakfast with the family! My tummy hurts though. ,0,"['bout', 'to', 'go', 'eat', 'breakfast', 'with', 'the', 'family', '!', 'my', 'tummy', 'hurts', 'though', '.']"
"Is at Jill's, helping babysit. An 8 year old told me my boobs were small  I'm strongly considering surgery hahh",0,"['is', 'at', 'jill', ""'s"", ',', 'helping', 'babysit', '.', 'an', '8', 'year', 'old', 'told', 'me', 'my', 'boobs', 'were', 'small', ' ', 'i', ""'m"", 'strongly', 'considering', 'surgery', 'hahh']"
@mimii23 i haven't listened to good girls go bad OR pete wentz is the only reason we're famous. im gonna wait for the album.. august 11th ,1,"['@mimii23', 'i', 'have', ""n't"", 'listened', 'to', 'good', 'girls', 'go', 'bad', 'or', 'pete', 'wentz', 'is', 'the', 'only', 'reason', 'we', ""'re"", 'famous', '.', 'i', 'm', 'gon', 'na', 'wait', 'for', 'the', 'album', '..', 'august', '11th']"
@simplelife1 we have a yali for sale for 45M Eur.. interested? ,1,"['@simplelife1', 'we', 'have', 'a', 'yali', 'for', 'sale', 'for', '45', 'm', 'eur', '..', 'interested', '?']"
@rachelgab hahaha. good luck!    i wish i could care that much about what i wore... i'm so lazy...,1,"['@rachelgab', 'hahaha', '.', 'good', 'luck', '!', '   ', 'i', 'wish', 'i', 'could', 'care', 'that', 'much', 'about', 'what', 'i', 'wore', '...', 'i', ""'m"", 'so', 'lazy', '...']"
@kkd2525 thx 4 the fb  if u like go to http://nodes.fm/manatmouse &amp; get 3 albums of mine for free / donation  have a great time!,1,"['@kkd2525', 'thx', '4', 'the', 'fb', ' ', 'if', 'u', 'like', 'go', 'to', 'http://nodes.fm/manatmouse', '&', 'amp', ';', 'get', '3', 'albums', 'of', 'mine', 'for', 'free', '/', 'donation', ' ', 'have', 'a', 'great', 'time', '!']"
ok guys class time  .. this so sucks,0,"['ok', 'guys', 'class', 'time', ' ', '..', 'this', 'so', 'sucks']"
http://twitpic.com/6p6kl - Even at the outlet these are $25!  I really want these!!!,0,"['http://twitpic.com/6p6kl', '-', 'even', 'at', 'the', 'outlet', 'these', 'are', '$', '25', '!', ' ', 'i', 'really', 'want', 'these', '!', '!', '!']"
Dunno whether this is true or not or what d'conditions are. Go as ur nearest barista  http://mypict.me/3ZFA,1,"['dunno', 'whether', 'this', 'is', 'true', 'or', 'not', 'or', 'what', ""d'conditions"", 'are', '.', 'go', 'as', 'ur', 'nearest', 'barista', ' ', 'http://mypict.me/3zfa']"
@ayomsb OMG I CANT DOWNLOAD IT ,0,"['@ayomsb', 'omg', 'i', 'ca', 'nt', 'download', 'it']"
I miss my wowwosa  and my love,0,"['i', 'miss', 'my', 'wowwosa', ' ', 'and', 'my', 'love']"
@CraigKausen I am so honored to be called a friend! Thank you for the follow friday too! You are a gem...don't ever forget it! ,1,"['@craigkausen', 'i', 'am', 'so', 'honored', 'to', 'be', 'called', 'a', 'friend', '!', 'thank', 'you', 'for', 'the', 'follow', 'friday', 'too', '!', 'you', 'are', 'a', 'gem', '...', ""don't"", 'ever', 'forget', 'it', '!']"
One more day of fun in the sun then it's back to reality ,0,"['one', 'more', 'day', 'of', 'fun', 'in', 'the', 'sun', 'then', 'it', ""'s"", 'back', 'to', 'reality']"
does anybody know how much doggy xrays are?? my poor baby cant walk ,0,"['does', 'anybody', 'know', 'how', 'much', 'doggy', 'xrays', 'are', '?', '?', 'my', 'poor', 'baby', 'ca', 'nt', 'walk']"
Time to get some Beauty Zzzzzz Goodnite Twitter Friends ,1,"['time', 'to', 'get', 'some', 'beauty', 'zzzzzz', 'goodnite', 'twitter', 'friends']"
@michaelbeck yep! I did a group shout out Tweet - so as not to insult/forget anyone.  #hhrs,1,"['@michaelbeck', 'yep', '!', 'i', 'did', 'a', 'group', 'shout', 'out', 'tweet', '-', 'so', 'as', 'not', 'to', 'insult', '/', 'forget', 'anyone', '.', ' ', '#', 'hhrs']"
"Just got vacuumde, and it hurt! ",0,"['just', 'got', 'vacuumde', ',', 'and', 'it', 'hurt', '!']"
Half asleep on my way to class.. Just realized i left my wallet at home ,0,"['half', 'asleep', 'on', 'my', 'way', 'to', 'class', '..', 'just', 'realized', 'i', 'left', 'my', 'wallet', 'at', 'home']"
@MissSummer i totally LOVE voodoo doughnuts!!  it was a primary destination of mine when i went to portland in september ,1,"['@misssummer', 'i', 'totally', 'love', 'voodoo', 'doughnuts', '!', '!', ' ', 'it', 'was', 'a', 'primary', 'destination', 'of', 'mine', 'when', 'i', 'went', 'to', 'portland', 'in', 'september']"
@gypsyjr that's awesome! I have a hard time watching the behind-the-scenes stuff. Feelings of jealousy are overpowering. ,0,"['@gypsyjr', 'that', ""'s"", 'awesome', '!', 'i', 'have', 'a', 'hard', 'time', 'watching', 'the', 'behind', '-', 'the', '-', 'scenes', 'stuff', '.', 'feelings', 'of', 'jealousy', 'are', 'overpowering', '.']"
What it do twitfam? What a bitch gotta do to get some  tylenol severe cold delivered to her? Ya girl aint feeling to good. ,0,"['what', 'it', 'do', 'twitfam', '?', 'what', 'a', 'bitch', 'got', 'ta', 'do', 'to', 'get', 'some', ' ', 'tylenol', 'severe', 'cold', 'delivered', 'to', 'her', '?', 'ya', 'girl', 'ai', 'nt', 'feeling', 'to', 'good', '.']"
@kunen69 ok sent the email! Hope you get it soon ,1,"['@kunen69', 'ok', 'sent', 'the', 'email', '!', 'hope', 'you', 'get', 'it', 'soon']"
@xoCrissyyy I o'deee love yu too suckaaaa .. Ur a greek LOL he's nerdyyy x100 ,1,"['@xocrissyyy', 'i', ""o'deee"", 'love', 'yu', 'too', 'suckaaaa', '..', 'ur', 'a', 'greek', 'lol', 'he', ""'s"", 'nerdyyy', 'x100']"
@khaizz You don't want to go to school? I have been going to school every single day so far for the entire June holidays. ,0,"['@khaizz', 'you', 'do', ""n't"", 'want', 'to', 'go', 'to', 'school', '?', 'i', 'have', 'been', 'going', 'to', 'school', 'every', 'single', 'day', 'so', 'far', 'for', 'the', 'entire', 'june', 'holidays', '.']"
@panagis i have no idea how to use this i just love all the shit the famous people say ,1,"['@panagis', 'i', 'have', 'no', 'idea', 'how', 'to', 'use', 'this', 'i', 'just', 'love', 'all', 'the', 'shit', 'the', 'famous', 'people', 'say']"
"I got cutted at work  But I'm all good, I'm sick of being heartbroken so fuck it all, I only want GOOD people in my life.",0,"['i', 'got', 'cutted', 'at', 'work', ' ', 'but', 'i', ""'m"", 'all', 'good', ',', 'i', ""'m"", 'sick', 'of', 'being', 'heartbroken', 'so', 'fuck', 'it', 'all', ',', 'i', 'only', 'want', 'good', 'people', 'in', 'my', 'life', '.']"
@runwithvampires ha ha.. we have Shakeaholic up here http://www.shakeaholic.co.uk/ no Shakeaways ,0,"['@runwithvampires', 'ha', 'ha', '..', 'we', 'have', 'shakeaholic', 'up', 'here', 'http://www.shakeaholic.co.uk/', 'no', 'shakeaways']"
hangin with the fam @ the park!! gonna be fun! ,1,"['hangin', 'with', 'the', 'fam', '@', 'the', 'park', '!', '!', 'gon', 'na', 'be', 'fun', '!']"
"goign to the zoo to see some monkeys tomorrow, canny wait ",1,"['goign', 'to', 'the', 'zoo', 'to', 'see', 'some', 'monkeys', 'tomorrow', ',', 'canny', 'wait']"
@Eight20Nicky the sundaes eric picked up hit the spot. might have to make it a post wedding ritual ,1,"['@eight20nicky', 'the', 'sundaes', 'eric', 'picked', 'up', 'hit', 'the', 'spot', '.', 'might', 'have', 'to', 'make', 'it', 'a', 'post', 'wedding', 'ritual']"
@heathur22 wake me up at 5am on a sunday again n die ,1,"['@heathur22', 'wake', 'me', 'up', 'at', '5', 'am', 'on', 'a', 'sunday', 'again', 'n', 'die']"
"Ugh, i have to work tomorrow ",0,"['ugh', ',', 'i', 'have', 'to', 'work', 'tomorrow']"
@ottern im fine too.  where you from?,1,"['@ottern', 'i', 'm', 'fine', 'too', '.', ' ', 'where', 'you', 'from', '?']"
"@matthewrmoore @mcaroleo I doubt he will, it's too late now. Catch him in the morning... maybe! He's taking a final at 7:30, then bye bye ",0,"['@matthewrmoore', '@mcaroleo', 'i', 'doubt', 'he', 'will', ',', 'it', ""'s"", 'too', 'late', 'now', '.', 'catch', 'him', 'in', 'the', 'morning', '...', 'maybe', '!', 'he', ""'s"", 'taking', 'a', 'final', 'at', '7:30', ',', 'then', 'bye', 'bye']"
@mileycyrus miley you will do great tonight! i cant wait to see pictures and your fans will always love you no matter what happens ,1,"['@mileycyrus', 'miley', 'you', 'will', 'do', 'great', 'tonight', '!', 'i', 'ca', 'nt', 'wait', 'to', 'see', 'pictures', 'and', 'your', 'fans', 'will', 'always', 'love', 'you', 'no', 'matter', 'what', 'happens']"
@jeanninesioco yep ,1,"['@jeanninesioco', 'yep']"
@alexanimal youre no fun  youre missing out on bowl30,0,"['@alexanimal', 'you', 're', 'no', 'fun', ' ', 'you', 're', 'missing', 'out', 'on', 'bowl30']"
are you vaccinated against chicken-pox?should I vaccinate my 3 yr old?I am SO confused about this damn thing ,0,"['are', 'you', 'vaccinated', 'against', 'chicken', '-', 'pox?should', 'i', 'vaccinate', 'my', '3', 'yr', 'old?i', 'am', 'so', 'confused', 'about', 'this', 'damn', 'thing']"
@BarbaraNixon - you can. Unfollow. ,1,"['@barbaranixon', '-', 'you', 'can', '.', 'unfollow', '.']"
decision made: it's gonna be my wedding song ,1,"['decision', 'made', ':', 'it', ""'s"", 'gon', 'na', 'be', 'my', 'wedding', 'song']"
doesn't like the humid weather - thunderstorms are on their way ,0,"['does', ""n't"", 'like', 'the', 'humid', 'weather', '-', 'thunderstorms', 'are', 'on', 'their', 'way']"
wait... are we not going for dinner anymore? ,0,"['wait', '...', 'are', 'we', 'not', 'going', 'for', 'dinner', 'anymore', '?']"
"@RosarioRivera  sounds like fun!!! . . . well, no not really but yeah . . . I LOVE THIS SONG! just fyi. ",1,"['@rosariorivera', ' ', 'sounds', 'like', 'fun', '!', '!', '!', '.', '.', '.', 'well', ',', 'no', 'not', 'really', 'but', 'yeah', '.', '.', '.', 'i', 'love', 'this', 'song', '!', 'just', 'fyi', '.']"
Heading to the bar show! ,1,"['heading', 'to', 'the', 'bar', 'show', '!']"
Trying to talk myself into being excited about a long day at work!  ,0,"['trying', 'to', 'talk', 'myself', 'into', 'being', 'excited', 'about', 'a', 'long', 'day', 'at', 'work', '!', ' ']"
uhoh. agent is saying no tattoo ,0,"['uhoh', '.', 'agent', 'is', 'saying', 'no', 'tattoo']"
@HaticeMG Yep I've watched! OMG that was greatest thing! Just like you're at their concerts  And yea it was totally awesome! ,1,"['@haticemg', 'yep', 'i', ""'ve"", 'watched', '!', 'omg', 'that', 'was', 'greatest', 'thing', '!', 'just', 'like', 'you', ""'re"", 'at', 'their', 'concerts', ' ', 'and', 'yea', 'it', 'was', 'totally', 'awesome', '!']"
It's 4 AM and I'm still awake. Late night watching &quot;Baby Mama&quot; with Rach... getting so anxious for my birthday weekend! ,1,"['it', ""'s"", '4', 'am', 'and', 'i', ""'m"", 'still', 'awake', '.', 'late', 'night', 'watching', '&', 'quot;baby', 'mama&quot', ';', 'with', 'rach', '...', 'getting', 'so', 'anxious', 'for', 'my', 'birthday', 'weekend', '!']"
@brandonheath that's a good one. Have fun in South Korea! ,1,"['@brandonheath', 'that', ""'s"", 'a', 'good', 'one', '.', 'have', 'fun', 'in', 'south', 'korea', '!']"
@gohard510 wut time is ur date ,1,"['@gohard510', 'wut', 'time', 'is', 'ur', 'date']"
Up with my little girls..just gave jes her medicine. She STILL isnt feeling any better. My poor baby. ,0,"['up', 'with', 'my', 'little', 'girls', '..', 'just', 'gave', 'jes', 'her', 'medicine', '.', 'she', 'still', 'is', 'nt', 'feeling', 'any', 'better', '.', 'my', 'poor', 'baby', '.']"
@Ahmad_Alharthi ØªÙØª Ø§ÙØªØ¬Ø±Ø¨Ø© Ø¨ÙØ¬Ø§Ø­ ,1,"['@ahmad_alharthi', 'øªù', '\x85', 'øª', 'ø§ù\x84øªø¬ø±ø¨ø', '©', 'ø¨ù\x86ø¬ø§ø\xad']"
@alittlelamb were you at SYTYCD? I didnt see you. ,0,"['@alittlelamb', 'were', 'you', 'at', 'sytycd', '?', 'i', 'did', 'nt', 'see', 'you', '.']"
Morning Rise &amp;&amp; Shine 0r Should I Say Rise &amp;&amp; Rain..Smh iM Still SicK  Heyyyy what's up ? @deedarling,0,"['morning', 'rise', '&', 'amp;&amp', ';', 'shine', '0r', 'should', 'i', 'say', 'rise', '&', 'amp;&amp', ';', 'rain', '..', 'smh', 'i', 'm', 'still', 'sick', ' ', 'heyyyy', 'what', ""'s"", 'up', '?', '@deedarling']"
"@sammykoch Yeah, me too. The Twilight trailers were really good. So these will have to be great as well.  Keep everyone in suspense.",1,"['@sammykoch', 'yeah', ',', 'me', 'too', '.', 'the', 'twilight', 'trailers', 'were', 'really', 'good', '.', 'so', 'these', 'will', 'have', 'to', 'be', 'great', 'as', 'well', '.', ' ', 'keep', 'everyone', 'in', 'suspense', '.']"
@openhappiness @jj_frankie @viperbrooke have a good day   it's a great day to be alive &lt;3,1,"['@openhappiness', '@jj_frankie', '@viperbrooke', 'have', 'a', 'good', 'day', '  ', 'it', ""'s"", 'a', 'great', 'day', 'to', 'be', 'alive', '&', 'lt;3']"
i hate watching extremely funny things all alone. ,0,"['i', 'hate', 'watching', 'extremely', 'funny', 'things', 'all', 'alone', '.']"
finals are soon  school is time consuming.... summer needs to hurry up and get here!!,0,"['finals', 'are', 'soon', ' ', 'school', 'is', 'time', 'consuming', '....', 'summer', 'needs', 'to', 'hurry', 'up', 'and', 'get', 'here', '!', '!']"
Today is entirely too beautiful to spend indoors. ,0,"['today', 'is', 'entirely', 'too', 'beautiful', 'to', 'spend', 'indoors', '.']"
"@bobbyedner Goodnight to you, Bobby  Sweet dreams and sleep tight!",1,"['@bobbyedner', 'goodnight', 'to', 'you', ',', 'bobby', ' ', 'sweet', 'dreams', 'and', 'sleep', 'tight', '!']"
Its official. Im not single anymore ,1,"['its', 'official', '.', 'i', 'm', 'not', 'single', 'anymore']"
@kaela_h nope they're fairly small and round ,1,"['@kaela_h', 'nope', 'they', ""'re"", 'fairly', 'small', 'and', 'round']"
i have a headache   ..hope my guy dsnt go home on SYTYCD because my last guy did.lol,0,"['i', 'have', 'a', 'headache', '  ', '..', 'hope', 'my', 'guy', 'dsnt', 'go', 'home', 'on', 'sytycd', 'because', 'my', 'last', 'guy', 'did.lol']"
Chavo wants a bewb job....full B. ,1,"['chavo', 'wants', 'a', 'bewb', 'job', '....', 'full', 'b.']"
Yes! Finished work on my way to see wolverine with my special lady friend ,1,"['yes', '!', 'finished', 'work', 'on', 'my', 'way', 'to', 'see', 'wolverine', 'with', 'my', 'special', 'lady', 'friend']"
"@SevFletcher exercise is what u make of it. Walk, run, bike, blade, skate, surf, JUST DO IT  feels gooooooood",1,"['@sevfletcher', 'exercise', 'is', 'what', 'u', 'make', 'of', 'it', '.', 'walk', ',', 'run', ',', 'bike', ',', 'blade', ',', 'skate', ',', 'surf', ',', 'just', 'do', 'it', ' ', 'feels', 'gooooooood']"
"Law &amp; Order: SVU rocked tonight. I'll miss you, @CSURyan! ",0,"['law', '&', 'amp', ';', 'order', ':', 'svu', 'rocked', 'tonight', '.', 'i', ""'ll"", 'miss', 'you', ',', '@csuryan', '!']"
@futuresex omg did you see who People selected as Hottest Bachelor &amp; im pretty sure it's not Joe Jonas ,0,"['@futuresex', 'omg', 'did', 'you', 'see', 'who', 'people', 'selected', 'as', 'hottest', 'bachelor', '&', 'amp', ';', 'i', 'm', 'pretty', 'sure', 'it', ""'s"", 'not', 'joe', 'jonas']"
@GeminiTwisted @DonniesGirl69  Thank you! ,1,"['@geminitwisted', '@donniesgirl69', ' ', 'thank', 'you', '!']"
"@BarryZito Barry blame me for your bad day  everytime I don't watch you, you do bad :'( go get em next time!",0,"['@barryzito', 'barry', 'blame', 'me', 'for', 'your', 'bad', 'day', ' ', 'everytime', 'i', 'do', ""n't"", 'watch', 'you', ',', 'you', 'do', 'bad', "":'("", 'go', 'get', 'em', 'next', 'time', '!']"
Currently I'm wishing I didn't have to wait 3 weeks for this new job to start ,0,"['currently', 'i', ""'m"", 'wishing', 'i', 'did', ""n't"", 'have', 'to', 'wait', '3', 'weeks', 'for', 'this', 'new', 'job', 'to', 'start']"
@nkirchmar I have 30 minutes to go! Then a 3 day weekend leading up to my birthday on Tuesday. I have to work on my birthday. ,0,"['@nkirchmar', 'i', 'have', '30', 'minutes', 'to', 'go', '!', 'then', 'a', '3', 'day', 'weekend', 'leading', 'up', 'to', 'my', 'birthday', 'on', 'tuesday', '.', 'i', 'have', 'to', 'work', 'on', 'my', 'birthday', '.']"
trying to get wlan drivers working on ubuntu is like being in the bad old days of RedHat 6 ,0,"['trying', 'to', 'get', 'wlan', 'drivers', 'working', 'on', 'ubuntu', 'is', 'like', 'being', 'in', 'the', 'bad', 'old', 'days', 'of', 'redhat', '6']"
Oh my God - what the fuck have I eaten?! ,0,"['oh', 'my', 'god', '-', 'what', 'the', 'fuck', 'have', 'i', 'eaten', '?', '!']"
http://twitpic.com/6fin8 see this is why Twitter iz BETTER you get stuff like thizzzzzzzzzzzz  WHATZ A FACEBOOK lol,1,"['http://twitpic.com/6fin8', 'see', 'this', 'is', 'why', 'twitter', 'iz', 'better', 'you', 'get', 'stuff', 'like', 'thizzzzzzzzzzzz', ' ', 'whatz', 'a', 'facebook', 'lol']"
"bought rain boots mons ago waiting for rain, finally rains, can't wear w/ new tat on my foot. Damn ",0,"['bought', 'rain', 'boots', 'mons', 'ago', 'waiting', 'for', 'rain', ',', 'finally', 'rains', ',', 'ca', ""n't"", 'wear', 'w/', 'new', 'tat', 'on', 'my', 'foot', '.', 'damn']"
@leila_licious me soweee  I miss you &lt;33,0,"['@leila_licious', 'me', 'soweee', ' ', 'i', 'miss', 'you', '&', 'lt;33']"
@Jayde_Nicole That's awesome! Thanks ,1,"['@jayde_nicole', 'that', ""'s"", 'awesome', '!', 'thanks']"
i look like a freaking tomato  goin to graduation..,0,"['i', 'look', 'like', 'a', 'freaking', 'tomato', ' ', 'goin', 'to', 'graduation', '..']"
Going to go have a Roast Dinner ,1,"['going', 'to', 'go', 'have', 'a', 'roast', 'dinner']"
Look @SharGorgiiss --- &gt; @shabooty 's here. We should all go one day and have pancakes together.  ,1,"['look', '@shargorgiiss', '---', '&', 'gt', ';', '@shabooty', ""'s"", 'here', '.', 'we', 'should', 'all', 'go', 'one', 'day', 'and', 'have', 'pancakes', 'together', '.', ' ']"
"@KendraRayL go to settings, devices &amp; add ur number &amp; then just txt from ur phone  i hope that helped.. haha  &lt;3",1,"['@kendrarayl', 'go', 'to', 'settings', ',', 'devices', '&', 'amp', ';', 'add', 'ur', 'number', '&', 'amp', ';', 'then', 'just', 'txt', 'from', 'ur', 'phone', ' ', 'i', 'hope', 'that', 'helped', '..', 'haha', ' ', '&', 'lt;3']"
@maryelleuh how was your night dear? ,1,"['@maryelleuh', 'how', 'was', 'your', 'night', 'dear', '?']"
